T,F_channel,F_composed,T_eff_fit,KL_bits
2.339999999999999858e+00,1.064774647930467166e+00,1.086259561961254283e+00,2.362130086739678170e+00,8.876801338302953495e-03
2.350000000000000089e+00,1.061947337561298665e+00,1.083747659568474742e+00,2.381389994820533040e+00,8.943252628880916585e-03
2.360000000000000320e+00,1.058704760955789359e+00,1.080808060856303543e+00,2.400760986598402091e+00,9.007450818559770492e-03
2.370000000000000107e+00,1.055056533555257081e+00,1.077450101658621318e+00,2.420242848343264086e+00,9.069366009016191152e-03
2.379999999999999893e+00,1.051012711501056351e+00,1.073683586810256774e+00,2.439835355925273674e+00,9.128970938044378425e-03
2.390000000000000124e+00,1.046583756728566739e+00,1.069518755282113931e+00,2.459538274975072270e+00,9.186240994041187935e-03
2.400000000000000355e+00,1.041780501828424743e+00,1.064966244953851948e+00,2.479351361043357294e+00,9.241154224527065031e-03
2.410000000000000142e+00,1.036614114835406442e+00,1.060037057301489671e+00,2.499274359761793463e+00,9.293691338008749220e-03
2.419999999999999929e+00,1.031096064088061759e+00,1.054742521959828538e+00,2.519307007004596421e+00,9.343835699592070027e-03
2.430000000000000160e+00,1.025238083299321978e+00,1.049094261462724553e+00,2.539449029049322348e+00,9.391573320826764742e-03
2.440000000000000391e+00,1.019052136982074197e+00,1.043104156287858242e+00,2.559700142739056439e+00,9.436892843293066130e-03
2.450000000000000178e+00,1.012550386350258735e+00,1.036784310203092252e+00,2.580060055644398886e+00,9.479785516522454270e-03
2.459999999999999964e+00,1.005745155812967528e+00,1.030147016226089063e+00,2.600528466224806934e+00,9.520245170720472577e-03
2.469999999999999751e+00,9.986489001843892321e-01,1.023204723257555848e+00,2.621105063991254980e+00,9.558268183674270210e-03
2.479999999999999982e+00,9.912741727011952220e-01,1.015970003294359936e+00,2.641789529668834291e+00,9.593853442769468068e-03
2.490000000000000213e+00,9.836335939425281394e-01,1.008455519653946419e+00,2.662581535357174012e+00,9.627002302599352648e-03
2.500000000000000000e+00,9.757398217476634938e-01,1.000673996191433712e+00,2.683480744693840236e+00,9.657718537313805460e-03
2.509999999999999787e+00,9.676055221944649398e-01,9.926381872542645590e-01,2.704486813016711899e+00,9.686008288731184218e-03
2.520000000000000018e+00,9.592433417119553551e-01,9.843608490662133503e-01,2.725599387523378603e+00,9.711880011518250755e-03
2.530000000000000249e+00,9.506658803884409092e-01,9.758547120044382961e-01,2.746818107436313383e+00,9.735344412604233708e-03
2.540000000000000036e+00,9.418856665115042937e-01,9.671324542374232225e-01,2.768142604159638864e+00,9.756414389800524903e-03
2.549999999999999822e+00,9.329151324001124790e-01,9.582066766277275160e-01,2.789572501444586017e+00,9.775104964462667453e-03
2.560000000000000053e+00,9.237665915387855975e-01,9.490898787915303947e-01,2.811107415546901578e+00,9.791433213688124915e-03
2.570000000000000284e+00,9.144522170577248366e-01,9.397944366362255275e-01,2.832746955389755072e+00,9.805418198271024371e-03
2.580000000000000071e+00,9.049840215599902482e-01,9.303325811062396200e-01,2.854490722722087703e+00,9.817080889522499659e-03
2.589999999999999858e+00,8.953738383137156420e-01,9.207163784387060179e-01,2.876338312279323794e+00,9.826444093460947465e-03
2.600000000000000089e+00,8.856333038086117160e-01,9.109577115642435441e-01,2.898289311943054614e+00,9.833532373457571155e-03
2.610000000000000320e+00,8.757738416693554573e-01,9.010682631352888716e-01,2.920343302897971505e+00,9.838371972097055898e-03
2.620000000000000107e+00,8.658066479211807831e-01,8.910594997231106040e-01,2.942499859793961114e+00,9.840990730427314967e-03
2.629999999999999893e+00,8.557426775825409671e-01,8.809426573081338141e-01,2.964758550901201772e+00,9.841418008217953442e-03
2.640000000000000124e+00,8.455926325711766722e-01,8.707287283432780800e-01,2.987118938268937818e+00,9.839684602313178083e-03
2.650000000000000355e+00,8.353669508933709853e-01,8.604284498251261182e-01,3.009580577883522956e+00,9.835822664937547005e-03
2.660000000000000142e+00,8.250757970829363241e-01,8.500522928725444682e-01,3.032143019822876262e+00,9.829865622554225316e-03
2.669999999999999929e+00,8.147290538624288869e-01,8.396104533857061680e-01,3.054805808416056756e+00,9.821848093479858613e-03
2.680000000000000160e+00,8.043363149790799804e-01,8.291128439918914461e-01,3.077568482395308003e+00,9.811805807623112316e-03
2.690000000000000391e+00,7.939068791839737349e-01,8.185690871062240026e-01,3.100430575055195703e+00,9.799775524734048032e-03
2.700000000000000178e+00,7.834497453020422553e-01,8.079885091531489039e-01,3.123391614403056238e+00,9.785794955736634368e-03
2.709999999999999964e+00,7.729736083554471504e-01,7.973801358690130181e-01,3.146451123317358878e+00,9.769902682477106526e-03
2.719999999999999751e+00,7.624868566847947671e-01,7.867526885622867505e-01,3.169608619697647178e+00,9.752138080886388338e-03
2.729999999999999982e+00,7.519975700273858754e-01,7.761145814689873745e-01,3.192863616620061684e+00,9.732541243692566929e-03
2.740000000000000213e+00,7.415135184955966574e-01,7.654739199730501431e-01,3.216215622487682779e+00,9.711152905699618407e-03
2.750000000000000000e+00,7.310421624111523853e-01,7.548384997057814294e-01,3.239664141184318780e+00,9.688014369588340835e-03
2.759999999999999787e+00,7.205906529393162341e-01,7.442158065376865972e-01,3.263208672222897455e+00,9.663167434620877766e-03
2.770000000000000018e+00,7.101658334780444060e-01,7.336130173286534717e-01,3.286848710898842896e+00,9.636654325663690165e-03
2.780000000000000249e+00,6.997742417446964902e-01,7.230370013476453694e-01,3.310583748437354146e+00,9.608517625392184666e-03
2.790000000000000036e+00,6.894221125174803122e-01,7.124943225265917279e-01,3.334413272143357254e+00,9.578800207821917823e-03
2.799999999999999822e+00,6.791153809775271055e-01,7.019912422015875952e-01,3.358336765550126835e+00,9.547545173632491361e-03
2.810000000000000053e+00,6.688596866043510225e-01,6.915337225363876739e-01,3.382353708565733363e+00,9.514795788516709762e-03
2.820000000000000284e+00,6.586603775786283865e-01,6.811274304288769121e-01,3.406463577621123839e+00,9.480595422462880298e-03
2.830000000000000071e+00,6.485225156448313211e-01,6.707777419470444258e-01,3.430665845814116821e+00,9.444987492501884935e-03
2.839999999999999858e+00,6.384508813906714098e-01,6.604897472503332700e-01,3.454959983056087758e+00,9.408015406736322181e-03
2.850000000000000089e+00,6.284499798973621765e-01,6.502682557678335362e-01,3.479345456215960475e+00,9.369722510919097427e-03
2.860000000000000320e+00,6.185240467223969141e-01,6.401178019600693991e-01,3.503821729261428430e+00,9.330152037929525383e-03
2.870000000000000107e+00,6.086770541730566197e-01,6.300426512030342652e-01,3.528388263405399350e+00,9.289347058071871846e-03
2.879999999999999893e+00,5.989127178323028211e-01,6.200468060290825756e-01,3.553044517242481604e+00,9.247350433759370103e-03
2.890000000000000124e+00,5.892345033018586697e-01,6.101340127239073263e-01,3.577789946892991679e+00,9.204204774596923613e-03
2.900000000000000355e+00,5.796456331260344541e-01,6.003077679098696162e-01,3.602624006141589952e+00,9.159952395413954035e-03
2.910000000000000142e+00,5.701490938660744856e-01,5.905713254559562531e-01,3.627546146574505137e+00,9.114635277237950750e-03
2.919999999999999929e+00,5.607476432910284414e-01,5.809277035567798064e-01,3.652555817717094477e+00,9.068295029631601514e-03
2.930000000000000160e+00,5.514438176589643303e-01,5.713796918295701577e-01,3.677652467171162343e+00,9.020972855455548778e-03
2.940000000000000391e+00,5.422399390589255352e-01,5.619298585291961912e-01,3.702835540748620424e+00,8.972709518051990782e-03
2.950000000000000178e+00,5.331381227897699082e-01,5.525805578560007980e-01,3.728104482606036107e+00,8.923545310319960441e-03
2.959999999999999964e+00,5.241402847506010376e-01,5.433339372470704642e-01,3.753458735377002142e+00,8.873520026107211203e-03
2.969999999999999751e+00,5.152481488221737349e-01,5.341919447266314513e-01,3.778897740303057695e+00,8.822672933553094357e-03
2.979999999999999982e+00,5.064632542185225628e-01,5.251563362101145938e-01,3.804420937364509925e+00,8.771042750327468288e-03
2.990000000000000213e+00,4.977869627899195737e-01,5.162286828023968654e-01,3.830027765408139828e+00,8.718667621161907758e-03
3.000000000000000000e+00,4.892204662595942555e-01,5.074103780393507401e-01,3.855717662275838009e+00,8.665585096703037893e-03
3.009999999999999787e+00,4.807647933802766116e-01,4.987026450146106460e-01,3.881490064929748129e+00,8.611832115023690046e-03
3.020000000000000018e+00,4.724208169935324442e-01,4.901065435635384437e-01,3.907344409575651767e+00,8.557444984308989339e-03
3.030000000000000249e+00,4.641892609842139250e-01,4.816229771904612655e-01,3.933280131789751444e+00,8.502459367119592076e-03
3.040000000000000036e+00,4.560707071113609956e-01,4.732526999679121937e-01,3.959296666635542472e+00,8.446910267345833154e-03
3.049999999999999822e+00,4.480656017130987268e-01,4.649963233530292617e-01,3.985393448787657888e+00,8.390832017407045401e-03
3.060000000000000497e+00,4.401742622710598796e-01,4.568543228053018046e-01,4.011569912647900082e+00,8.334258268206324108e-03
3.070000000000000284e+00,4.323968838301524009e-01,4.488270443044429792e-01,4.037825492464209631e+00,8.277221979691934753e-03
3.080000000000000071e+00,4.247335452637538422e-01,4.409147107187629255e-01,4.064159622443758835e+00,8.219755413414882653e-03
3.089999999999999858e+00,4.171842153825995325e-01,4.331174280501401963e-01,4.090571736868506392e+00,8.161890126397616102e-03
3.099999999999999645e+00,4.097487588791782209e-01,4.254351914619828867e-01,4.117061270206464840e+00,8.103656965642691556e-03
3.110000000000000320e+00,4.024269421055383100e-01,4.178678911981932309e-01,4.143627657221713889e+00,8.045086065005740278e-03
3.120000000000000107e+00,3.952184386812901407e-01,4.104153183444432806e-01,4.170270333083006875e+00,7.986206842299579944e-03
3.129999999999999893e+00,3.881228349313831094e-01,4.030771703737262013e-01,4.196988733471586741e+00,7.927047997871885382e-03
3.139999999999999680e+00,3.811396351466471710e-01,3.958530565563356807e-01,4.223782294684488292e+00,7.867637514600987064e-03
3.150000000000000355e+00,3.742682666739936548e-01,3.887425032204592235e-01,4.250650453738900936e+00,7.808002658221775347e-03
3.160000000000000142e+00,3.675080848301327530e-01,3.817449587860726745e-01,4.277592648473548920e+00,7.748169979062022490e-03
3.169999999999999929e+00,3.608583776414380773e-01,3.748597986755730638e-01,4.304608317647328875e+00,7.688165314629450374e-03
3.179999999999999716e+00,3.543183704111005361e-01,3.680863300390467274e-01,4.331696901038109004e+00,7.628013792831457064e-03
3.190000000000000391e+00,3.478872301138156709e-01,3.614237962921158509e-01,4.358857839537858325e+00,7.567739836256744818e-03
3.200000000000000178e+00,3.415640696209547578e-01,3.548713815018952333e-01,4.386090575246610612e+00,7.507367167087152307e-03
3.209999999999999964e+00,3.353479517565703394e-01,3.484282146234048971e-01,4.413394551563911250e+00,7.446918812647695084e-03
3.219999999999999751e+00,3.292378931897165240e-01,3.420933735271864951e-01,4.440769213280480798e+00,7.386417111668685739e-03
3.230000000000000426e+00,3.232328681611507104e-01,3.358658888889712868e-01,4.468214006664060989e+00,7.325883721103099155e-03
3.240000000000000213e+00,3.173318120529286523e-01,3.297447479340526733e-01,4.495728379547207609e+00,7.265339623603411096e-03
3.250000000000000000e+00,3.115336247989351492e-01,3.237288979929434651e-01,4.523311781410599863e+00,7.204805135224466930e-03
3.259999999999999787e+00,3.058371741441459069e-01,3.178172499178849586e-01,4.550963663465731557e+00,7.144299914075325636e-03
3.270000000000000462e+00,3.002412987526115740e-01,3.120086813592594099e-01,4.578683478734280499e+00,7.083842969004702783e-03
3.280000000000000249e+00,2.947448111704649154e-01,3.063020398727892557e-01,4.606470682127820737e+00,7.023452668668708418e-03
3.290000000000000036e+00,2.893465006462403455e-01,3.006961458800638809e-01,4.634324730522420666e+00,6.963146751235642189e-03
3.299999999999999822e+00,2.840451358131672044e-01,2.951897955290971320e-01,4.662245082833154086e+00,6.902942334303263476e-03
3.310000000000000497e+00,2.788394672372127014e-01,2.897817633866683895e-01,4.690231200087179531e+00,6.842855924814809053e-03
3.320000000000000284e+00,2.737282298354950516e-01,2.844708049729277044e-01,4.718282545494032476e+00,6.782903429706620829e-03
3.330000000000000071e+00,2.687101451671135011e-01,2.792556592235852508e-01,4.746398584511934970e+00,6.723100166374516677e-03
3.339999999999999858e+00,2.637839236039147273e-01,2.741350507920976565e-01,4.774578784916617025e+00,6.663460873603268241e-03
3.350000000000000533e+00,2.589482663815791397e-01,2.691076922401003380e-01,4.802822616862933103e+00,6.603999722489461641e-03
3.360000000000000320e+00,2.542018675384504767e-01,2.641722861178903425e-01,4.831129552949764872e+00,6.544730327561387208e-03
