T,full_state,abs_magnetization,energy,subset_mag_k2_0,subset_mag_k2_1,subset_mag_k4_0,subset_mag_k4_1,subset_mag_k8_0,subset_mag_k8_1,hash8_0,hash8_1,hash8_2,hash8_3,hash8_4,hash8_5,block_majority_0,block_majority_1,block_majority_2,block_majority_3,abs_linear_0,abs_linear_1,abs_linear_2,abs_linear_3,single_spin,parity,sign_M
2.024999999999999911e+00,2.445199557677331992e+00,2.392100703189907751e+00,2.445199557677322666e+00,5.799728478979726543e-01,6.137198614123270390e-01,1.029135718514626152e+00,1.048948871538792238e+00,1.705183466626922106e+00,1.693152818072618526e+00,9.734762969086437900e-01,1.070667481826259593e+00,1.082436245873070968e+00,1.107170754758195041e+00,1.103709034886484419e+00,8.981083078519153107e-01,1.102749636475961914e+00,1.150392921651142819e+00,1.130270099832554775e+00,1.123246284047022980e+00,1.442298171165822485e+00,1.457901277163523135e+00,1.560327764229532566e+00,1.513970662561944014e+00,4.960474259737631498e-26,7.273206629393828004e-01,2.484766734251799025e-04
2.049999999999999822e+00,2.463975526765556090e+00,2.408126527610292555e+00,2.463975526765596946e+00,5.878323802651851393e-01,6.226130332597685779e-01,1.044453797269508710e+00,1.064889792713883176e+00,1.725831705889956824e+00,1.713457551962894732e+00,9.750675878671435370e-01,1.075521387070863977e+00,1.081804199182688331e+00,1.110928869323205559e+00,1.103974850179596290e+00,9.028452521062967362e-01,1.140170359352877805e+00,1.186727015429172249e+00,1.167037896162773647e+00,1.160088452723390118e+00,1.438138210529763095e+00,1.456050331847483115e+00,1.552151472925044073e+00,1.507989327491191744e+00,1.045662332659795360e-23,7.000446080057972642e-01,2.926946871520185811e-04
2.075000000000000178e+00,2.478315639195541209e+00,2.419726839417790210e+00,2.478315639195589171e+00,5.941108253561054875e-01,6.297944183257434547e-01,1.057363668599893280e+00,1.078365118548971102e+00,1.742888623099498657e+00,1.730200298628689293e+00,9.743610611769379926e-01,1.077789065925381262e+00,1.078516967195594090e+00,1.112039138983753173e+00,1.101570745545445318e+00,9.054009032457671635e-01,1.174884178506760080e+00,1.220216262527278106e+00,1.201022165141691023e+00,1.194154274191705500e+00,1.430916713183105093e+00,1.451021389404594020e+00,1.540692103416285264e+00,1.498795101956877929e+00,1.956163622746458463e-24,6.718917088771197976e-01,3.421707735678229017e-04
2.100000000000000089e+00,2.488111790815797697e+00,2.426805040893720289e+00,2.488111790815830560e+00,5.987444839258234675e-01,6.351910114320825640e-01,1.067753494616241916e+00,1.089258743472924174e+00,1.756222947534110235e+00,1.743251619162616839e+00,9.713357263595888691e-01,1.077425873825594849e+00,1.072570881966503631e+00,1.110465224975574428e+00,1.096487469823805849e+00,9.057343547330014566e-01,1.206647213740357438e+00,1.250628828851937158e+00,1.231986000021672023e+00,1.225206172503152668e+00,1.420642757402639456e+00,1.442809892006075900e+00,1.525979908778807514e+00,1.486406192694396555e+00,6.937206805472348290e-24,6.430314412723204809e-01,3.970332508606001201e-04
2.125000000000000000e+00,2.493292952559122533e+00,2.429301524670072876e+00,2.493292952559139852e+00,6.016879219866052564e-01,6.387499174818015435e-01,1.075536597794642502e+00,1.097480400974750525e+00,1.765737402167624204e+00,1.752515764777404561e+00,9.659934609943545691e-01,1.074412980230164072e+00,1.063988541135333143e+00,1.106196872622812633e+00,1.088741902657901273e+00,9.038269415195210321e-01,1.235248040178283047e+00,1.277766082546262894e+00,1.259725340815978978e+00,1.253039454189564195e+00,1.407352334232815361e+00,1.431439473145422969e+00,1.508073367523147246e+00,1.470868763800166956e+00,1.751113618529057100e-24,6.136379774149669508e-01,4.573265660447820968e-04
2.149999999999999911e+00,2.493826712507373422e+00,2.427195095476171183e+00,2.493826712507429377e+00,6.029148690619955397e-01,6.404393684571471068e-01,1.080653026585341570e+00,1.102967272090441320e+00,1.771370389018876779e+00,1.757932348184873206e+00,9.583593897156323926e-01,1.068758086798454299e+00,1.052818920664764457e+00,1.099250514236844500e+00,1.078377249806622640e+00,8.996828677626090842e-01,1.260510593512814470e+00,1.301465297943776411e+00,1.284071767078076798e+00,1.277485102043592891e+00,1.391108554580657408e+00,1.416962311718506617e+00,1.487059190932334296e+00,1.452257046254903150e+00,2.927352074433765262e-24,5.838879427459913174e-01,5.230026661086654635e-04
2.174999999999999822e+00,2.489720033686674050e+00,2.420503611123888010e+00,2.489720033686734002e+00,6.024186638158093299e-01,6.402492405158249911e-01,1.083070529954630823e+00,1.105684988051198747e+00,1.773096931173929303e+00,1.759477277391567451e+00,9.484817389564917933e-01,1.060495559341912086e+00,1.039136901537312196e+00,1.089669284547805095e+00,1.065462659107924370e+00,8.933293219108090488e-01,1.282296298036877502e+00,1.321601583083787279e+00,1.304894514211322409e+00,1.298411791529012982e+00,1.372001271864817129e+00,1.399458879189831695e+00,1.463051723646427105e+00,1.430672845561353990e+00,1.544419194443396479e-25,5.539580323520589822e-01,5.939149472423465919e-04
2.200000000000000178e+00,2.481019210569515021e+00,2.409283827988868421e+00,2.481019210569553657e+00,6.002122371237764709e-01,6.381910603388876169e-01,1.082784917602418906e+00,1.105628003609786969e+00,1.770928851780811497e+00,1.757162932223137464e+00,9.364311702889798195e-01,1.049685969130321528e+00,1.023042220760043586e+00,1.077522446910319287e+00,1.050092264886562043e+00,8.848160753301830272e-01,1.300505376632817844e+00,1.338088994133222132e+00,1.322101674778724645e+00,1.315727091442040031e+00,1.350146124398257763e+00,1.379037081183660751e+00,1.436191746203568931e+00,1.406244454768893259e+00,1.926408810261680237e-23,5.240225600417973695e-01,6.698151980309127772e-04
2.225000000000000089e+00,2.467809034692223680e+00,2.393630463526721819e+00,2.467809034692141967e+00,5.963276402532472487e-01,6.342975091508286090e-01,1.079819804839098341e+00,1.102819340220951405e+00,1.764914196621298226e+00,1.751037590033426294e+00,9.222996145671210622e-01,1.036415060706256996e+00,1.004657878114390002e+00,1.062904250019573782e+00,1.032383689460122156e+00,8.742145797770820570e-01,1.315077330068556982e+00,1.350880827899338721e+00,1.335640574273331271e+00,1.329377838435298109e+00,1.325683022773584963e+00,1.355830816674309158e+00,1.406644709897779233e+00,1.379125001564047936e+00,1.129597875233219163e-23,4.942510179354215327e-01,7.503537984555950884e-04
2.250000000000000000e+00,2.450211206295077826e+00,2.373674514609805719e+00,2.450211206295010324e+00,5.908151426371716086e-01,6.286214512449489478e-01,1.074225763014659663e+00,1.097309720596918892e+00,1.755135932369602303e+00,1.741184132421979225e+00,9.061986471320226944e-01,1.020792183789422714e+00,9.841280495955730956e-01,1.045932255152248969e+00,1.012476049735485883e+00,8.616165971787782540e-01,1.325990600898341976e+00,1.359969111118258800e+00,1.345497338506657536e+00,1.339349702707594458e+00,1.298774127255341249e+00,1.329997998530310976e+00,1.374598454364331257e+00,1.349490278021369560e+00,9.572156775520855662e-24,4.648057247768422329e-01,8.350832837857349563e-04
2.274999999999999911e+00,2.428382053158484766e+00,2.349580894463231040e+00,2.428382053158485654e+00,5.837419390974315503e-01,6.212345306392581534e-01,1.066078916729249704e+00,1.089176136880367629e+00,1.741709976129594217e+00,1.727718088130702823e+00,8.882574603380202216e-01,1.002948245265455007e+00,9.616155754205399919e-01,1.026745192106692350e+00,9.905275338915360273e-01,8.471324115167936375e-01,1.333261463614976217e+00,1.365383331028090952e+00,1.351695695828618371e+00,1.345665988209443498e+00,1.269601377810495091e+00,1.301718097560207843e+00,1.340260476087105301e+00,1.317536119224414826e+00,7.742112339414878821e-25,4.358396379737655701e-01,9.234651932222441356e-04
2.299999999999999822e+00,2.402509638709820372e+00,2.321545471535282346e+00,2.402509638709781292e+00,5.751905191202676404e-01,6.122253934391110874e-01,1.055479046852584313e+00,1.078519912788495683e+00,1.724782632162483509e+00,1.710785087502170843e+00,8.686205025625982623e-01,9.830332525182375880e-01,9.372991039662050827e-01,1.005500416988822199e+00,9.667126267240682136e-01,8.308886861462628781e-01,1.336942206212086370e+00,1.367188474664448039e+00,1.354295080578366450e+00,1.348385733888026738e+00,1.238363653672512443e+00,1.271189287326144335e+00,1.303854830196248260e+00,1.283475411131380417e+00,7.221675545722748661e-25,4.074943969093717810e-01,1.014879971470779036e-03
2.325000000000000178e+00,2.372810358121846708e+00,2.289791609912692039e+00,2.372810358121959062e+00,5.652567608232763607e-01,6.016976044687898373e-01,1.042547272902388578e+00,1.065464334861599305e+00,1.704527528014183613e+00,1.690557820094857666e+00,8.474448623694222915e-01,9.612135310736659166e-01,9.113699825575073410e-01,9.823710563525842598e-01,9.412190720968381941e-01,8.130260402153819399e-01,1.337118687988626320e+00,1.365482463376944899e+00,1.353388123497547335e+00,1.347601201812021587e+00,1.205273650073397151e+00,1.238625278443907574e+00,1.265618758424389201e+00,1.247534818537348045e+00,7.040948460908431979e-24,3.798986546617132976e-01,1.108639525099884169e-03
2.350000000000000089e+00,2.339525132918636174e+00,2.254566322311399862e+00,2.339525132918617079e+00,5.540478188280321126e-01,5.897673339685259863e-01,1.027423398885777495e+00,1.050151938718638434e+00,1.681142153943255613e+00,1.667232598677945266e+00,8.248974820348591308e-01,9.376687070290372628e-01,8.840289911793808297e-01,9.575429293021131549e-01,9.142446664729874106e-01,7.936964243940828334e-01,1.333907373522997375e+00,1.360393083541182158e+00,1.349097629586954117e+00,1.343434852750158726e+00,1.170554566157183229e+00,1.204251938162628655e+00,1.225799142043370926e+00,1.209951330056314056e+00,1.337519003621649590e-24,3.531667420533680102e-01,1.204001913609699295e-03
2.375000000000000000e+00,2.302915321265631476e+00,2.216136152959592209e+00,2.302915321265635029e+00,5.416798783767360348e-01,5.765608936171858767e-01,1.010263013135784593e+00,1.032741542738874641e+00,1.654844116335047799e+00,1.641025639578514772e+00,8.011522862845541493e-01,9.125885480219902979e-01,8.554830160123317873e-01,9.312113420569566591e-01,8.859939787875886763e-01,7.730603788691169376e-01,1.327451952844924010e+00,1.352074523940477002e+00,1.341573153654095130e+00,1.336035919526264104e+00,1.134436700280233579e+00,1.168303793794941647e+00,1.184648880239040691e+00,1.170968718824208832e+00,1.596704546290219366e-24,3.273976931026895687e-01,1.300187564648002574e-03
2.399999999999999911e+00,2.263258462684266892e+00,2.174782908875901200e+00,2.263258462684366368e+00,5.282758478583781114e-01,5.622122010413937998e-01,9.912344348613703060e-01,1.013405123841117250e+00,1.625867217662434694e+00,1.612169171219679509e+00,7.763873099308611359e-01,8.861697556374329432e-01,8.259417563535415008e-01,9.035778481820547769e-01,8.566750891171952542e-01,7.512842555804349898e-01,1.317919662834174277e+00,1.340703634731079230e+00,1.330987288487684994e+00,1.325576693144952189e+00,1.097154046943492833e+00,1.131020517070170373e+00,1.142423291774119276e+00,1.130834015252487168e+00,1.133441633335411236e-25,3.026746453997899433e-01,1.396396348091805215e-03
2.424999999999999822e+00,2.220843972715617731e+00,2.130799354520034772e+00,2.220843972715607073e+00,5.139630585614859415e-01,5.468602483927291757e-01,9.705155983475747261e-01,9.923246282134891016e-01,1.594457472871944059e+00,1.580907480018799882e+00,7.507819025560104054e-01,8.586127974942576735e-01,7.956145514508347061e-01,8.748470626465472133e-01,8.264964321210240827e-01,7.285374822903696312e-01,1.305497424963414366e+00,1.326476022486623219e+00,1.317531780402467545e+00,1.312248636473233088e+00,1.058940983861867746e+00,1.092643481119190296e+00,1.099376631299517459e+00,1.089794081943820769e+00,2.248481954427291306e-27,2.790646134840807924e-01,1.491824833287323142e-03
