T,F_channel,F_composed,T_eff_fit,KL_bits
1.790000000000000036e+00,4.549029798974499883e-01,4.704696727236499787e-01,1.372496495050460563e+00,5.680368736499185299e-03
1.800000000000000044e+00,4.682964325746949430e-01,4.846213082730829180e-01,1.384903075935057348e+00,5.927739621769781940e-03
1.810000000000000053e+00,4.817761895635300773e-01,4.988786261268365885e-01,1.397403870639056134e+00,6.182429507048981497e-03
1.820000000000000062e+00,4.953283938359754890e-01,5.132273261835812450e-01,1.409999093600234676e+00,6.444478670551731340e-03
1.830000000000000071e+00,5.089387587764947485e-01,5.276526263630344493e-01,1.422688942768419729e+00,6.713918482938594640e-03
1.840000000000000080e+00,5.225925970866936998e-01,5.421392921021143119e-01,1.435473599604955908e+00,6.990771097465221448e-03
1.850000000000000089e+00,5.362748516911000074e-01,5.566716674953251509e-01,1.448353229088065408e+00,7.275049158889478410e-03
1.860000000000000098e+00,5.499701285550385732e-01,5.712337088401741036e-01,1.461327979723545667e+00,7.566755532865896902e-03
1.870000000000000107e+00,5.636627313097857250e-01,5.858090203147179320e-01,1.474397983569232018e+00,7.865883056319394190e-03
1.880000000000000115e+00,5.773366975736972107e-01,6.003808911224273182e-01,1.487563356267757708e+00,8.172414310856373001e-03
1.890000000000000124e+00,5.909758368389973482e-01,6.149323348717016247e-01,1.500824197083675315e+00,8.486321421205525115e-03
1.899999999999999911e+00,6.045637697896231177e-01,6.294461303245753037e-01,1.514180588960007956e+00,8.807565877900783158e-03
1.910000000000000142e+00,6.180839688991481840e-01,6.439048635159175804e-01,1.527632598573421152e+00,9.136098388272463275e-03
1.919999999999999929e+00,6.315198001516963977e-01,6.582909715312151855e-01,1.541180276407140504e+00,9.471858754166192704e-03
1.930000000000000160e+00,6.448545657177823243e-01,6.725867871245513330e-01,1.554823656830114142e+00,9.814775778991055230e-03
1.939999999999999947e+00,6.580715474082747818e-01,6.867745841798004180e-01,1.568562758187693529e+00,1.016476720417141578e-02
1.950000000000000178e+00,6.711540507249916798e-01,7.008366244580205295e-01,1.582397582896635235e+00,1.052173967691293587e-02
1.959999999999999964e+00,6.840854493181321994e-01,7.147552043926507226e-01,1.596328117562423099e+00,1.088558874694152759e-02
1.970000000000000195e+00,6.968492296535544472e-01,7.285127023728499296e-01,1.610354333090224355e+00,1.125619889730934339e-02
1.979999999999999982e+00,7.094290356980375023e-01,7.420916262353898230e-01,1.624476184821025182e+00,1.163344360444393613e-02
1.990000000000000213e+00,7.218087134134133498e-01,7.554746607631378508e-01,1.638693612662402987e+00,1.201718543267294402e-02
2.000000000000000000e+00,7.339723548687363541e-01,7.686447147820590908e-01,1.653006541245700234e+00,1.240727615780985033e-02
2.009999999999999787e+00,7.459043417548363308e-01,7.815849676014043901e-01,1.667414880075125172e+00,1.280355692564917255e-02
2.020000000000000018e+00,7.575893881171096300e-01,7.942789152150596665e-01,1.681918523700094426e+00,1.320585843954663607e-02
2.030000000000000249e+00,7.690125820973552351e-01,8.067104150943366081e-01,1.696517351887907310e+00,1.361400118074235915e-02
2.040000000000000036e+00,7.801594264971565273e-01,8.188637302129112561e-01,1.711211229810144729e+00,1.402779565835044449e-02
2.049999999999999822e+00,7.910158779759217662e-01,8.307235714534561000e-01,1.726000008235632599e+00,1.444704268957318523e-02
2.060000000000000053e+00,8.015683847012656793e-01,8.422751386557689735e-01,1.740883523731352689e+00,1.487153370904685523e-02
2.070000000000000284e+00,8.118039222823499879e-01,8.535041600242898596e-01,1.755861598872461293e+00,1.530105110594616978e-02
2.080000000000000071e+00,8.217100278237323696e-01,8.643969294124628222e-01,1.770934042460919677e+00,1.573536858782558293e-02
2.089999999999999858e+00,8.312748319445157907e-01,8.749403418042902558e-01,1.786100649748468161e+00,1.617425157065291094e-02
2.100000000000000089e+00,8.404870886286140985e-01,8.851219264400617126e-01,1.801361202672069339e+00,1.661745759202508041e-02
2.110000000000000320e+00,8.493362027734853159e-01,8.949298775162880526e-01,1.816715470090448203e+00,1.706473674826007245e-02
2.120000000000000107e+00,8.578122553255829175e-01,9.043530825926647809e-01,1.832163208031177604e+00,1.751583215180039371e-02
2.129999999999999893e+00,8.659060259029892626e-01,9.133811484686695792e-01,1.847704159941409685e+00,1.797048040855164786e-02
2.140000000000000124e+00,8.736090128220681539e-01,9.220044239430169597e-01,1.863338056949447985e+00,1.842841211173362401e-02
2.150000000000000355e+00,8.809134504501643370e-01,9.302140202017658011e-01,1.879064618121931041e+00,1.888935235378365329e-02
2.160000000000000142e+00,8.878123238450308374e-01,9.380018283385322952e-01,1.894883550738000633e+00,1.935302124934728044e-02
2.169999999999999929e+00,8.942993806266782419e-01,9.453605337628394611e-01,1.910794550557785687e+00,1.981913447261715588e-02
2.180000000000000160e+00,9.003691400732333205e-01,9.522836279199609066e-01,1.926797302103248732e+00,2.028740380263327134e-02
2.190000000000000391e+00,9.060168994232434825e-01,9.587654168540339361e-01,1.942891478936501937e+00,2.075753767797346161e-02
2.200000000000000178e+00,9.112387374060690881e-01,9.648010271838650675e-01,1.959076743945915133e+00,2.122924175624171447e-02
2.209999999999999964e+00,9.160315150140768692e-01,9.703864087308403663e-01,1.975352749634740945e+00,2.170221947741741639e-02
2.219999999999999751e+00,9.203928735618613910e-01,9.755183344453790539e-01,1.991719138409433487e+00,2.217617262963119187e-02
2.229999999999999982e+00,9.243212300898155931e-01,9.801943977472385994e-01,2.008175542872707275e+00,2.265080191404634027e-02
2.240000000000000213e+00,9.278157701769357280e-01,9.844130067836225351e-01,2.024721586119633265e+00,2.312580750713532848e-02
2.250000000000000000e+00,9.308764382422036743e-01,9.881733760145032797e-01,2.041356882032401288e+00,2.360088961931901611e-02
2.259999999999999787e+00,9.335039254352961446e-01,9.914755153741411364e-01,2.058081035577597362e+00,2.407574904715759079e-02
2.270000000000000018e+00,9.356996552161118696e-01,9.943202168544639230e-01,2.074893643104299024e+00,2.455008771743523097e-02
2.280000000000000249e+00,9.374657667401726791e-01,9.967090386809873692e-01,2.091794292642500608e+00,2.502360922143276670e-02
2.290000000000000036e+00,9.388050961747766987e-01,9.986442871826888279e-01,2.108782564201124643e+00,2.549601933786546301e-02
2.299999999999999822e+00,9.397211560787156470e-01,1.000128996722102537e+00,2.125858030064708082e+00,2.596702654291387080e-02
2.310000000000000053e+00,9.402181129863340647e-01,1.001166907636429126e+00,2.143020255091967918e+00,2.643634250498576310e-02
2.320000000000000284e+00,9.403007633402704624e-01,1.001762442049591861e+00,2.160268797012163233e+00,2.690368256363146610e-02
2.330000000000000071e+00,9.399745079235132250e-01,1.001920678308135360e+00,2.177603206717475537e+00,2.736876619200074093e-02
2.339999999999999858e+00,9.392453249462779930e-01,1.001647323953513302e+00,2.195023028557523403e+00,2.783131743951669165e-02
2.350000000000000089e+00,9.381197419415925332e-01,1.000948687056280928e+00,2.212527800630172514e+00,2.829106535543532072e-02
2.360000000000000320e+00,9.366048066304946129e-01,9.998316465948381415e-01,2.230117055068876475e+00,2.874774439212903973e-02
2.370000000000000107e+00,9.347080569117984794e-01,9.983036217788134881e-01,2.247790318329699666e+00,2.920109478621344540e-02
2.379999999999999893e+00,9.324374901345507949e-01,9.963725404474153002e-01,2.265547111473763309e+00,2.965086291796058260e-02
2.390000000000000124e+00,9.298015318088962422e-01,9.940468067939904895e-01,2.283386950447628294e+00,3.009680164755037385e-02
2.400000000000000355e+00,9.268090039041438910e-01,9.913352685667081721e-01,2.301309346358944907e+00,3.053867062835211380e-02
2.410000000000000142e+00,9.234690928889920380e-01,9.882471839813273817e-01,2.319313805749712465e+00,3.097623659616927788e-02
2.419999999999999929e+00,9.197913176522376499e-01,9.847921882474820476e-01,2.337399830865978245e+00,3.140927363431218061e-02
2.430000000000000160e+00,9.157854974414539884e-01,9.809802601251134124e-01,2.355566919921797009e+00,3.183756341509152293e-02
2.440000000000000391e+00,9.114617199599738262e-01,9.768216885688024709e-01,2.373814567361110406e+00,3.226089541637796460e-02
2.450000000000000178e+00,9.068303097418125569e-01,9.723270394494066826e-01,2.392142264113993555e+00,3.267906711430988015e-02
2.459999999999999964e+00,9.019017969224967235e-01,9.675071227202940438e-01,2.410549497848171185e+00,3.309188415212583473e-02
