P_over_N,iid_natural,diag_lognormal_0,diag_lognormal_1,diag_lognormal_2,diag_lognormal_3,diag_lognormal_4,diag_lognormal_5,rot_powerlaw_0,rot_powerlaw_1,rot_powerlaw_2,rot_powerlaw_3,slice_d4_0,slice_d4_1,slice_d16_0,slice_d16_1,slice_d64_0,slice_d64_1,train_span
1.649999999999999911e+00,1.658632566508552397e+00,1.619068423792732192e+00,1.620908273760583329e+00,1.596482723078453292e+00,1.528136766967446381e+00,1.682372590373746757e+00,1.574494095598813370e+00,1.653782881506221658e+00,1.534672851808567939e+00,1.418600750256258314e+00,1.566711445439118666e+00,1.933960166079950138e+00,1.224866512128598872e+00,1.869937905249654975e+00,1.477137538252554005e+00,1.611651586477363285e+00,1.463879539103979832e+00,2.318495670274673542e-02
1.699999999999999956e+00,1.543891970054102947e+00,1.439227591470573442e+00,1.477288289910898778e+00,1.460249649135287209e+00,1.446005058154709699e+00,1.524431261893233858e+00,1.470539558118554080e+00,1.504479288959080119e+00,1.362010078561844528e+00,1.360880755146584242e+00,1.543014796572651282e+00,1.794063201823129505e+00,1.253040437007519436e+00,1.684213768296061620e+00,1.390788703577867658e+00,1.480638585639814098e+00,1.373575055715189563e+00,2.318495670274674930e-02
1.750000000000000000e+00,1.473768847728059050e+00,1.382329041062754449e+00,1.403726208326732561e+00,1.403091194419712640e+00,1.381994179856951055e+00,1.471338514496714600e+00,1.381691923498860941e+00,1.432712008199896747e+00,1.256935037280467293e+00,1.371194829879886390e+00,1.473395928482509776e+00,1.624369766639745194e+00,1.121967683422121942e+00,1.497481760584256083e+00,1.379723605858290458e+00,1.423249624938277558e+00,1.304486629085219729e+00,2.318495670274676318e-02
1.800000000000000044e+00,1.468052599014436188e+00,1.365639132115045395e+00,1.393019333535722382e+00,1.394276373617598708e+00,1.365441948847584408e+00,1.443521435710789946e+00,1.361550996249470735e+00,1.402531188716192201e+00,1.238402544166841146e+00,1.333985492881412771e+00,1.478812801548719857e+00,1.610494709365521526e+00,1.106270248785059307e+00,1.473145879786009305e+00,1.383665883663857121e+00,1.424601535435215727e+00,1.293849499540255632e+00,2.318495670274675971e-02
1.850000000000000089e+00,1.429712990417525864e+00,1.308934668248397104e+00,1.371061684224816890e+00,1.355558617848604097e+00,1.329621092655947745e+00,1.379634496412823985e+00,1.334300460564559199e+00,1.366402325599701539e+00,1.204331115143408626e+00,1.296084243051492724e+00,1.436266967337407774e+00,1.597408836238357832e+00,1.067058720340859690e+00,1.447865693905632911e+00,1.431728471180489848e+00,1.396503940999808790e+00,1.263901225088644775e+00,2.318495670274677706e-02
1.899999999999999911e+00,1.393444797387447975e+00,1.278504598656476698e+00,1.340755138290412374e+00,1.344548511057197526e+00,1.312140489660678089e+00,1.342642944727146403e+00,1.322474424509233026e+00,1.347886064682458640e+00,1.147332259034426816e+00,1.290301423711464279e+00,1.405172941729361913e+00,1.533433514890129690e+00,1.114302802932171321e+00,1.428675626735929516e+00,1.444318635389391314e+00,1.383881619111716033e+00,1.232904518998094057e+00,2.318495670274675277e-02
1.949999999999999956e+00,1.353312682595979144e+00,1.235637953549409307e+00,1.310008594186151232e+00,1.316043490740289812e+00,1.292696092650968520e+00,1.307051875265874852e+00,1.269403794785387340e+00,1.318749514073881191e+00,1.081766396038859490e+00,1.293576064540395976e+00,1.399297195256953286e+00,1.428787080446012769e+00,1.064040798544233724e+00,1.361178383659634061e+00,1.388920530652737018e+00,1.369905825417376821e+00,1.233376438645318540e+00,2.318495670274671114e-02
2.000000000000000000e+00,1.335618170038820107e+00,1.215712552134837310e+00,1.285091466469600041e+00,1.277773578348603056e+00,1.276073207766107220e+00,1.284656046121965600e+00,1.265754633507916393e+00,1.391024221776228753e+00,1.070298570768983382e+00,1.251174746188629339e+00,1.372749933958015145e+00,1.403051510396794654e+00,9.361620161959388620e-01,1.348391842340068036e+00,1.368728842477954233e+00,1.362850022204326716e+00,1.205791299323009325e+00,2.318495670274680134e-02
2.049999999999999822e+00,1.317018976964319021e+00,1.190922823010234666e+00,1.282432009196894152e+00,1.272909417904173335e+00,1.267397313811761350e+00,1.289703712731880447e+00,1.262571204013688497e+00,1.344367774532045257e+00,1.099317742395394815e+00,1.179443526303997958e+00,1.397851586420533421e+00,1.324406073803888306e+00,9.454293504143895799e-01,1.316148960763871001e+00,1.377047781152051842e+00,1.330964375844394310e+00,1.191695191446702662e+00,2.318495670274674583e-02
2.100000000000000089e+00,1.313156098824721729e+00,1.194662460008673710e+00,1.264192131044000300e+00,1.277846724751430241e+00,1.256157347754672360e+00,1.295531033537395516e+00,1.254667518195463405e+00,1.367722763696878285e+00,1.106639448157660910e+00,1.182784758749107379e+00,1.386532474689873284e+00,1.277271234170219483e+00,8.685281079490108080e-01,1.308100907404983193e+00,1.365168928594385989e+00,1.326016652005582053e+00,1.173651478688403360e+00,2.318495670274674930e-02
