T,magnetization,fisher_info_chi
1.628571428571428559e+00,1.331338933059558456e-14,1.590909090909091050e+00
1.642857142857142794e+00,1.244099180814409103e-14,1.555555555555555802e+00
1.657142857142857251e+00,1.188549393656995613e-14,1.521739130434782483e+00
1.671428571428571486e+00,1.160499895362415482e-14,1.489361702127659504e+00
1.685714285714285721e+00,1.157740689014887963e-14,1.458333333333333259e+00
1.699999999999999956e+00,1.179753591154522503e-14,1.428571428571428603e+00
1.714285714285714191e+00,1.227618370423579332e-14,1.400000000000000133e+00
1.728571428571428648e+00,1.304092547114469980e-14,1.372549019607842924e+00
1.742857142857142883e+00,8.112376783473674135e-15,1.346153846153846034e+00
1.757142857142857117e+00,8.901163772600620959e-15,1.320754716981132004e+00
1.771428571428571352e+00,9.963343474912847501e-15,1.296296296296296502e+00
1.785714285714285809e+00,1.137400515378835431e-14,1.272727272727272485e+00
1.800000000000000044e+00,7.355156876741268413e-15,1.250000000000000222e+00
1.814285714285714279e+00,8.658595522701247431e-15,1.228070175438596534e+00
1.828571428571428514e+00,1.038878382335326318e-14,1.206896551724137900e+00
1.842857142857142749e+00,6.892089527243370162e-15,1.186440677966102086e+00
1.857142857142857206e+00,8.517981851283926423e-15,1.166666666666666519e+00
1.871428571428571441e+00,1.072291259264281189e-14,1.147540983606557319e+00
1.885714285714285676e+00,7.289668078378554325e-15,1.129032258064516014e+00
1.899999999999999911e+00,9.442831602184056234e-15,1.111111111111110938e+00
1.914285714285714368e+00,6.504654372884565057e-15,1.093749999999999778e+00
1.928571428571428603e+00,8.664990215096428361e-15,1.076923076923076872e+00
1.942857142857142838e+00,6.045755691083581546e-15,1.060606060606060774e+00
1.957142857142857073e+00,8.277226929129235968e-15,1.044776119402985204e+00
1.971428571428571530e+00,5.847476350025246683e-15,1.029411764705882026e+00
1.985714285714285765e+00,8.223256482460801971e-15,1.014492753623188248e+00
2.000000000000000000e+00,5.879978583380506432e-15,1.000000000000000000e+00
